Kernel,C,Gamma,Time (s),Accuracy
Linear SVM,0.1,-,16.743149042129517,0.3953
Linear SVM,1.0,-,16.910778522491455,0.3953
Linear SVM,10.0,-,16.862440586090088,0.3953
RBF SVM,1.0,scale,185.06884908676147,0.5406
RBF SVM,1.0,0.001,247.24055767059326,0.5545
RBF SVM,1.0,0.01,818.2511689662933,0.2047
RBF SVM,10.0,scale,218.38991808891296,0.5614
RBF SVM,10.0,0.001,516.3050515651703,0.5604
RBF SVM,10.0,0.01,1051.1241221427917,0.2209
RBF SVM,100.0,scale,286.46620512008667,0.5443
RBF SVM,100.0,0.001,519.0122108459473,0.5556
RBF SVM,100.0,0.01,1051.648255109787,0.2209
