model,classifier_accuracy_on_reconstructed,test_image_accuracy,test_pixel_accuracy,train_accuracy
AE_Small_bs64_lr0.001,96.14,0.0,89.16411683104774,89.33220074219749
AE_Small_bs64_lr0.0001,96.55,0.0,89.03934583387493,88.8241524823739
AE_Small_bs128_lr0.001,96.43,0.0,89.99573400364895,90.00993100032574
AE_Small_bs128_lr0.0001,95.86,0.0,87.57790299664167,87.25902200142019
AE_Medium_bs64_lr0.001,97.68,0.0,93.09566631190692,93.3852377818357
AE_Medium_bs64_lr0.0001,97.39,0.0,91.58139146383076,91.4529913319679
AE_Medium_bs128_lr0.001,97.51,0.0,92.57639690567682,92.8631359458677
AE_Medium_bs128_lr0.0001,97.22,0.0,90.28104616055283,90.09962237887181
AE_Large_bs64_lr0.001,97.11,0.0,90.79987488626026,91.42254433134265
AE_Large_bs64_lr0.0001,96.0,0.0,88.34913842129203,88.28437930456379
AE_Large_bs128_lr0.001,96.94,0.0,90.90519094307028,91.27392853750543
AE_Large_bs128_lr0.0001,95.08,0.0,86.17442551585506,85.96871989321001
PCA_32,96.52,N/A,75.61864795918368,75.47844033446712
PCA_64,97.44,N/A,81.79529336734694,81.60291950113378
PCA_128,97.62,N/A,89.49642857142857,89.4719281462585
PCA_256,97.67,N/A,97.28344387755102,97.3015518707483
